Name,EarlyDep
"SkyWest Airlines Inc.: OO",52
"Republic Airline: YX",36
"Mesa Airlines Inc.: YV",35
"Allegiant Air: G4",33
"Alaska Airlines Inc.: AS",33
"Southwest Airlines Co.: WN",32
"Delta Air Lines Inc.: DL",30
"JetBlue Airways: B6",29
"Hawaiian Airlines Inc.: HA",29
"Spirit Air Lines: NK",29
"Envoy Air: MQ",29
"Endeavor Air Inc.: 9E",26
"United Air Lines Inc.: UA",26
"American Airlines Inc.: AA",25
"PSA Airlines Inc.: OH",25
"ExpressJet Airlines LLC: EV",25
"Frontier Airlines Inc.: F9",24
